id,name,charactaristic,category_id
378,soy protein isolate,"Light yellow powder
InChI:InChI=1S/C13H10N2/c14-10-12(11-6-2-1-3-7-11)13-8-4-5-9-15-13/h1-9,12H
InChIKey:CAXNYFPECZCGFK-UHFFFAOYSA-N
SMILES:C(#N)C(C1=CC=CC=C1)C1=NC=CC=C1",2
379,punicalagin,C1C(C(OC(=O)C2=CC(=C(C(=C2C3=C(C(=C4C5=C3C(=O)OC6=C(C(=C(C7=C(C(=C(C=C7C(=O)O1)O)O)O)C(=C56)C(=O)O4)O)O)O)O)O)O)O)C8C(OC(=O)C9=CC(=C(C(=C9C1=C(C(=C(C=C1C(=O)O8)O)O)O)O)O)O)C=O)O,4
380,Lemon Peel Extract (LPE),none,4
381,Native Konjac Flour,"OC[C@H]1O[C@H](O)[C@@H](O)[C@H](O)[C@H]1O[C@H]2O[C@H](CO)[C@@H](O)[C@H](O)[C@H]2O
これは「グルコース-マンノース」の1→4結合を基本とした二糖構造のSMILESです",1
382,Konjac Glucomannan,OC[C@H]1O[C@H](O)[C@@H](O)[C@H](O)[C@H]1O[C@H]2O[C@H](CO)[C@@H](O)[C@H](O)[C@H]2O,1
383,chitosan(C),034-22922,1
384,chitosan(S),9012-76-4,1
385,Water Caltrop Pericarp Extract(WCPE),"没食子酸 (Gallic acid): OC(=O)C1=CC(O)=C(O)C(O)=C1
ケルセチン (Quercetin): Oc1ccc(cc1O)C2=C(O)c3c(O)cc(O)cc3OC2=O
エラグ酸 (Ellagic acid): OC1=C(O)C2=C3C(=C1)C(=O)OC1=C3C(=CC(O)=C1O)C(=O)O2 |",1
386,pea protein,"基本ペプチド骨格のSMILES:
N[C@@H](R1)C(=O)N[C@@H](R2)C(=O)N[C@@H](R3)C(=O)O

簡略化された繰り返し単位:
*-NH-CH(R)-CO-*",2
387,DNA nanoparticles,"アデニン (Adenine, A):
Nc1ncnc2[nH]cnc12

グアニン (Guanine, G):
Nc1nc2[nH]cnc2c(=O)[nH]1

シトシン (Cytosine, C):
Nc1ccnc(=O)[nH]1

チミン (Thymine, T):
Cc1c[nH]c(=O)[nH]c1=O

デオキシアデノシン一リン酸 (dAMP):
Nc1ncnc2[nH]cnc12.[C@H]1([C@H]([C@@H](CO)O1)O)n1cnc2c(N)ncnc21.OP(=O)(O)O

簡略化された DNA 骨格構造:
*-O-P(=O)(O)-O-C-*",4
388,rice protein,"アミノ酸	分子式	SMILES構造式
Leucine (Leu)	C6H13NO2	CCCC(C)CC(N)C(=O)O
Proline (Pro)	C5H9NO2	O=C(O)C1CCCN1
Alanine (Ala)	C3H7NO2	CC(N)C(=O)O
Phenylalanine (Phe)	C9H11NO2	NC(Cc1ccccc1)C(=O)O
Glutamic acid (Glu)	C5H9NO4	NC(CCC(=O)O)C(=O)O
Isoleucine (Ile)	C6H13NO2	CCC(C)C(N)C(=O)O
Valine (Val)	C5H11NO2	CC(C)C(N)C(=O)O
Serine (Ser)	C3H7NO3	NC(CO)C(=O)O
Glycine (Gly)	C2H5NO2	NCC(=O)O
Tyrosine (Tyr)	C9H11NO3	NC(Cc1ccc(O)cc1)C(=O)O",2
389,casein,"アミノ酸	分子式	SMILES構造式
Proline (Pro)	C5H9NO2	O=C(O)C1CCCN1
Serine (Ser)	C3H7NO3	NC(CO)C(=O)O
Leucine (Leu)	C6H13NO2	CC(C)CC(N)C(=O)O
Lysine (Lys)	C6H14N2O2	NCCCC(N)C(=O)O
Glutamine (Gln)	C5H10N2O3	NC(CCC(=O)N)C(=O)O",2
390,Cress seed (CS) mucilage extraction,"D-グルコース	中性多糖の主成分	OC[C@H]1O[C@@H](O)[C@@H](O)[C@H](O)[C@H]1O
D-ガラクツロン酸	酸性多糖の主成分	OC[C@H]1O[C@@H](O)[C@@H](O)C(=O)O[C@H]1O
L-ラムノース	中性多糖の副成分	CC1OC(O)[C@H](O)[C@H](O)[C@H]1O
アラビノース	中性多糖の副成分	OC[C@H]1O[C@H](O)[C@@H](O)[C@H](O)[C@H]1O",1
391,acetylated monoglyceride,CC(=O)OCC(CO)O,3
392,dl-α-tocopheryl acetate,null,3
393,glycerol monostearate,(,3
394,selenium acid,.,4
395,Sodium trimetaphosphate,特になし,4
396,Jackfruit seed starch,a,1
397,sesame oil,あ,4
398,pectin(L200),"表1. CSおよびペクチンのエステル化度、アミド化度、重量平均分子量、および数平均分子量の値。
DE（％）	DA（％）	分子量（kDa）	M n (kDa)	M w / M n
CS	−	−	619.5	514	1.21
L200	26.9	21.9	87.46	16.4	5.33
L201Y	26.5	23.7	369.84	27.1	13.64
H183	68.9	−	873.34	54.1	16.15
H182	69.5	−	1243.64	53.3	23.31",1
399,pectin(L201Y),"表1. CSおよびペクチンのエステル化度、アミド化度、重量平均分子量、および数平均分子量の値。
DE（％）	DA（％）	分子量（kDa）	M n (kDa)	M w / M n
CS	−	−	619.5	514	1.21
L200	26.9	21.9	87.46	16.4	5.33
L201Y	26.5	23.7	369.84	27.1	13.64
H183	68.9	−	873.34	54.1	16.15
H182	69.5	−	1243.64	53.3	23.31",1
400,pectin(H183),"表1. CSおよびペクチンのエステル化度、アミド化度、重量平均分子量、および数平均分子量の値。
DE（％）	DA（％）	分子量（kDa）	M n (kDa)	M w / M n
CS	−	−	619.5	514	1.21
L200	26.9	21.9	87.46	16.4	5.33
L201Y	26.5	23.7	369.84	27.1	13.64
H183	68.9	−	873.34	54.1	16.15
H182	69.5	−	1243.64	53.3	23.31",1
401,pectin(H182),"表1. CSおよびペクチンのエステル化度、アミド化度、重量平均分子量、および数平均分子量の値。
DE（％）	DA（％）	分子量（kDa）	M n (kDa)	M w / M n
CS	−	−	619.5	514	1.21
L200	26.9	21.9	87.46	16.4	5.33
L201Y	26.5	23.7	369.84	27.1	13.64
H183	68.9	−	873.34	54.1	16.15
H182	69.5	−	1243.64	53.3	23.31",1
402,curdlan,"β-1,3-グルコシド結合を介してd-グルコースから構成される直鎖構造を持つ新しいタイプの細胞外多糖類です[14]。",1
403,camelia oil,他方では、東洋オリーブ油として知られる椿油は、主にオレイン酸、リノール酸、リノレン酸を含む不飽和脂肪酸、ペプチド、ミネラル、ビタミンが豊富。,4
404,mulberry polypheolic extract (MPE),"表1．HPLC - MS分析によるMPE中のフェノール化合物の組成。

ピーク	保持時間（分）	フェノール化合物	[M] + ( m / z )	相対含有量（％）
1	2.37	イソラムネチン	316	3.46
2	2.77	ケンフェロール-3-O-グルクロニド	462	4.32
3	5.56	シアニジン-3-O-グルコシド	449	5.94
4	13.25	シアニジン-3-O-(6-アセチル)-グルコシド	491	6.77
5	14.07	ミリセチン-3-O-グルクロニド	494	16.43
6	21.10	ペラルゴニジン-3-O-(6-アセチル)-グルコシド	475	33.00
7	23.02	マルビジン-3-O-(6-アセチル)-グルコシド	531	11.05
8	32.44	カテキン	290	19.03",4
405,Guava Leaf Ethanolic Extracts,エタノール抽出物中の主なポリフェノールは、ルチン（0.0015 μg/mL）、イソケルシトリン（0.0291 μg/mL）、ケルセチン-3-O-β-D-キシロピラノシド（0.1290 μg/mL）、アビキュラリン（0.1225 μg/mL）、ケルシトリン（0.0818 μg/mL）、ケルセチン（0.0332 μg/mL）、およびケンフェロール（0.0050 μg/mL）であった。,4
406,Guava Leaf Water Extracts,グアバ葉水抽出物中のフェノール化合物は、没食子酸（0.0029 μg/mL）、エラグ酸（0.0373 μg/mL）、ケルセチン-3-O-β-D-キシロピラノシド（0.0057 μg/mL）、アビキュラリン（0.0881 μg/mL）、およびケルセチン（0.0001 μg/mL）でした。,4
407,pomelo peel flour (PPF),ブンタンの皮粉（PPF）の化学組成を分析したところ、水溶性食物繊維（ペクチン）と炭水化物（それぞれ33.2%、49.13%）が主成分であり、タンパク質（3.25%）と脂質（2.84%）も一定量含まれていることがわかった,1
408,black soybean seed coat extract (BSSCE),組成表あり,4
409,pomegranate flesh extract (PFE),組成あり,4
410,chive root extract (CRE),組成あり,4
411,banana peels extract (BPE),組成あり,4
412,dihydromyricetin,ジヒドロミリセチン（DMY）は、 Ampelopsis grossedentataの葉の主要な生物活性成分であり、フラボノイドに属します。,4
413,Coffee peel anthocyanin,アントシアニン,4
414,black soybean seed coat anthocyanin,a,4
415,propolis extract,a,4
416,Zataria multiflora Boiss essential oil (ZEO),a,4
417,Mentha pulegium essential oil (MEO),a,4
418,calcium carbonate,a,3
419,glucono-δ-lactone (GDL),a,3
420,orange essential oil,a,4
421,Buckwheat starch,a,1
422,High methoxyl pectin,DE: 65–69 %,1
423,low methoxyl pectin,DE: 30 %,1
424,ι-carrageenan,二糖類あたり1つ（カッパ）または2つ（イオタ）のエステル硫酸基を有しています,1
425,κ-carrageenan,二糖類あたり1つ（カッパ）または2つ（イオタ）のエステル硫酸基を有しています,1
426,Tomato paste,SMILES見つかる？,4
427,chitosan glycerol,chitin,4
428,chitosanGO,chitosan+GrapheneOxide,1
429,Pedada flour,組成なし,1
430,delonix regia galactomannan,DRG,1
431,Vanillin,added as preservative,4
432,gum ghatti,a,1
433,carboxymethyl starch,a,1
434,λ-carrageenan,a,1
435,green tea extract (GTE),a,4
436,levan,a,1
437,SHPI,サンヘンプシードタンパク質分離物（SHPI）,2
438,Glove oil,oil,4
439,Albizia gum (AZG),"It is constituted of galactose, arabinose, mannose, glucuronic acid, 4-O-methyl-glucuronic acid and rhamnose",1
440,Moringa oleifera purified flavonoids (MOPF),"Flavonoids are defined as a class of phenolic compounds widely distributed in plants, known for their antioxidative properties and potential health benefits, including cancer prevention and anti-inflammatory effects. They are commonly found in a variety of fruits, vegetables, tea, and coffee.",4
441,anthocyanin,"Anthocyanins are a type of flavonoid that serve as pigmenting agents in plants, contributing to their color and providing potential health benefits. They are known for their presence in various fruits and vegetables and exhibit antimicrobial activity.",4
442,Cascara,“cascara” is a solid residue from coffee processing,4
443,passion fruit peel,"Passion fruit peel extract has great potential as a natural antimicrobial agent due to its bioactive compounds such as flavonoids, alkaloids, and saponins that are effective against bacteria, fungi, and viruses. This potential can be utilized in various applications, ranging from edible food wrap to extend the shelf life of food to use in health products. In addition, utilizing extracts from passion fruit peel waste supports the principle of sustainability by utilizing waste into high-value products, reduce environmental impacts, and supporting a circular economy.",4
444,Rutin,"Rutin is one of the most common glucosides of quercetin, also known as vitamin P. Due to its flavonoid chemical structure, rutin has important antimicrobial, chelating, and antioxidant properties, which can be used to preserve and develop foods.",4
445,free rutin (FR),rutin without encapsulation in liposomes,4
446,Fenugreek seed mucilage (FSM),"FSM is mainly based on polysaccharides, with a crystalline structure containing 45–60 % carbohydrates, mostly fiber, 30 % soluble, and 20 % insoluble.",4
447,Citrus flavonoids(CF),from The Citrus peel,4
448,Essential oils (EOs),fascinating constituents for the fabrication of active edible films,4
449,Garden Cress Seed Extract (GRCE),The trend of utilizing garden cress extract (GRCE) for treating various diseases and mitigating the impact of chemotherapy agents is on the rise.,4
450,moringa gum,used to improve the bonding between the linking matrix,4
451,pine cone extract (PCE),visible in the FTIR spectra,4
452,Tomato seed mucilage (TSM),Tomato seed mucilage (TSM) usage as a source of biodegradable films can reduce agricultural and tomato processing plant wastes and increases the product value added.,4
453,carbon dots (CDs),to construct a bio-friendly composite film with high freshness retention properties,4
454,Litsea cubeba essential oil (LC-EO),"a traditionally culinary spice oil in China, lending a fresh lemony and spicy aroma to dishes, is a safe, natural extract derived from plants with effective biochemical characteristics such as antimicrobial, anti-inflammatory, anticancer properties, and it has been widely utilized in food, pharmaceutical, cosmetics, and other industries",4
455,walnut green husk polyphenols (WGHP),applied in chemical and biomedical industries as native additives and functional components,4
456,Yellow pea protein isolate (PPI),Pea protein isolate,4
457,micro-emulsion (MOEO),oregano essential oil (OEO),4
458,nano-emulsion (NOEO),oregano essential oil (OEO),4
459,purple onion peel (POPE),purple onion peel,4
460,butterfly-pea flower extract (BFE),"a promising potential for developing smart materials, preserving, and monitoring the food quality",4
461,Helichrysum italicum essential oil(HIEO),"obtained from the flowers and leaves of the plant has attracted attention in traditional medicine for treating wounds, asthma, inflammation, and edema",4
462,basil seed gum (BSG),favorable physicochemical properties,4
463,free vitamin E (FVE),vitamin E,4
464,vitamin E liposomes (LVE),vitamin E,4
465,vitamin E nanoliposomes (NLVE),vitamin E,4
466,sodium silicate,fabricate PSA-SE systems,4
467,ethylene diamine tetraacetic acid-2Na (EDTA-2Na),fabricate PSA-SE systems,4
468,nopal cladodes,The mucilage,4
469,propylene glycol,plasticizer,4
